Name,City,Completion Year,Height (m),Height (ft),Floors,Material,Function
One World Trade Center,New York City,2014,541,1776,94,Concrete-Steel Composite,Office
Central Park Tower,New York City,2020,472,1550,98,All-Concrete,Residential / Retail
Willis Tower,Chicago,1974,442,1451,108,All-Steel,Office
111 West 57th Street,New York City,2021,435,1428,84,Steel Over Concrete,Residential
One Vanderbilt Avenue,New York City,2020,427,1401,62,Concrete-Steel Composite,Office
432 Park Avenue,New York City,2015,426,1397,85,All-Concrete,Residential
Trump International Hotel & Tower,Chicago,2009,423,1389,98,All-Concrete,Residential / Hotel
30 Hudson Yards,New York City,2019,387,1270,73,All-Steel,Office
Empire State Building,New York City,1931,381,1250,102,All-Steel,Office
Bank of America Tower,New York City,2009,366,1200,55,Concrete-Steel Composite,Office
The St. Regis Chicago,Chicago,2020,363,1191,101,All-Concrete,Residential / Hotel
Aon Center,Chicago,1973,346,1136,83,All-Steel,Office
875 North Michigan Avenue,Chicago,1969,344,1128,100,All-Steel,Residential / Office
Comcast Technology Center,Philadelphia,2018,339,1112,59,Concrete-Steel Composite,Hotel / Office
Wilshire Grand Center,Los Angeles,2017,335,1100,62,Concrete-Steel Composite,Hotel / Office
3 World Trade Center,New York City,2018,329,1079,69,Concrete-Steel Composite,Office
Salesforce Tower,San Francisco,2018,326,1070,61,Concrete-Steel Composite,Office
53 West 53,New York City,2019,320,1050,77,All-Concrete,Residential
Chrysler Building,New York City,1930,319,1046,77,All-Steel,Office
New York Times Tower,New York City,2007,319,1046,52,All-Steel,Office
The Brooklyn Tower,New York City,2023,315,1035,74,All-Concrete,Residential
The Spiral,New York City,2022,314,1030,65,Concrete-Steel Composite,Office
Bank of America Plaza,Atlanta,1992,312,1023,55,Concrete-Steel Composite,Office
U.S. Bank Tower,Los Angeles,1990,310,1018,72,All-Steel,Office
The Franklin - North Tower,Chicago,1989,307,1007,60,Concrete-Steel Composite,Office
One57,New York City,2014,306,1004,75,Steel Over Concrete,Residential / Hotel
JPMorgan Chase Tower,Houston,1982,305,1002,75,Concrete-Steel Composite,Office
35 Hudson Yards,New York City,2019,305,1000,72,All-Concrete,Residential / Hotel
One Manhattan West,New York City,2019,304,996,67,Concrete-Steel Composite,Office
Two Prudential Plaza,Chicago,1990,303,995,64,All-Concrete,Office
1000 Louisiana,Houston,1983,302,992,71,All-Steel,Office
50 Hudson Yards,New York City,2022,299,981,58,Concrete-Steel Composite,Office
4 World Trade Center,New York City,2014,298,977,65,Composite,Office
Comcast Center,Philadelphia,2008,297,974,57,Concrete-Steel Composite,Office
One Chicago - 14 West Superior,Chicago,2022,296,971,77,All-Concrete,Residential
311 South Wacker Drive,Chicago,1990,293,961,65,All-Concrete,Office
70 Pine,New York City,1932,290,952,67,All-Steel,Hotel / Residential
220 Central Park South,New York City,2019,290,950,65,All-Concrete,Residential
Key Tower,Cleveland,1991,289,947,57,Composite,Office
One Liberty Place,Philadelphia,1987,288,945,61,All-Steel,Office
Two Manhattan West,New York City,2023,285,935,58,All-Steel,Office
Columbia Center,Seattle,1984,284,933,76,Concrete-Steel Composite,Office
The Trump Building,New York City,1930,283,927,71,All-Steel,Office
30 Park Place,New York City,2016,282,926,67,All-Concrete,Residential / Hotel
Bank of America Plaza,Dallas,1985,281,921,72,Concrete-Steel Composite,Office
601 Lexington,New York City,1977,279,915,63,All-Steel,Office
15 Hudson Yards,New York City,2019,279,914,70,All-Concrete,Residential
Williams Tower,Houston,1982,275,901,64,All-Steel,Office
NEMA Chicago,Chicago,2019,273,896,81,All-Concrete,Residential
99 Hudson Street,Jersey City,2020,271,889,76,All-Concrete,Residential
Renaissance Tower,Dallas,1986,270,886,56,All-Steel,Office
10 Hudson Yards,New York City,2016,268,878,52,Composite,Office / Retail
Sixth & Guadalupe,Austin,2023,267,875,66,All-Concrete,Residential / Office
Bank of America Corporate Center,Charlotte,1992,265,871,60,All-Concrete,Office
Eight Spruce Street,New York City,2011,265,870,76,All-Concrete,Residential
900 North Michigan Avenue,Chicago,1989,265,869,66,Concrete Over Steel,Residential / Office / Hotel
Chase Tower,Chicago,1969,265,868,61,All-Steel,Office
Truist Plaza,Atlanta,1992,264,867,60,All-Concrete,Office
Trump World Tower,New York City,2001,262,861,72,All-Concrete,Residential
425 Park Avenue,New York City,2021,262,860,41,Concrete-Steel Composite,Office
Water Tower Place,Chicago,1976,262,859,74,All-Concrete,Residential / Hotel / Retail
Aqua at Lakeshore East,Chicago,2009,262,859,86,All-Concrete,Residential / Hotel
707 Wilshire Tower,Los Angeles,1974,262,858,62,All-Steel,Office
Transamerica Pyramid Center,San Francisco,1972,260,853,48,Composite,Office
Comcast Building,New York City,1933,259,850,70,All-Steel,Office
Two Liberty Place,Philadelphia,1990,258,848,58,All-Steel,Residential / Office
Sutton 58,New York City,2022,258,847,65,All-Concrete,Residential
Rainier Square,Seattle,2020,258,847,58,Concrete-Steel Composite,Residential / Office
One Manhattan Square,New York City,2019,258,847,72,All-Concrete,Residential
Park Tower,Chicago,2000,257,844,68,All-Concrete,Residential / Hotel
Devon Energy Center,Oklahoma City,2012,257,844,52,All-Concrete,Office
U.S. Steel Tower,Pittsburgh,1970,256,841,64,All-Steel,Office
One Bennett Park,Chicago,2018,255,836,67,All-Concrete,Residential
Salesforce Tower,Chicago,2023,255,835,60,Concrete-Steel Composite,Office
Panorama Tower,Miami,2018,252,827,81,All-Concrete,Residential / Hotel / Office
56 Leonard,New York City,2016,250,821,57,All-Concrete,Residential
Aston Martin Residences,Miami,2024,250,821,65,All-Concrete,Residential
One Atlantic Center,Atlanta,1987,250,820,50,Concrete-Steel Composite,Office
The Legacy at Millennium Park,Chicago,2010,249,818,73,All-Concrete,Residential
110 North Wacker,Chicago,2020,249,817,55,Concrete-Steel Composite,Office
CitySpire,New York City,1987,248,814,75,All-Concrete,Residential / Office
28 Liberty,New York City,1961,248,813,60,All-Steel,Office
