Name,City,Completion Year,Height (m),Height (ft),Floors,Material,Function
Jeddah Tower,Jeddah,2030,1000,3281,167,All-Concrete,Residential / Serviced Apartments
Burj Azizi,Dubai,2030,725,2379,133,N/A,Serviced Apartments / Hotel / Residential
Burj Binghatti Jacob & Co Residences,Dubai,2027,595,1952,105,N/A,Residential
Tiger Sky Tower,Dubai,2029,532,1745,116,N/A,Residential
Six Senses Residences,Dubai,2028,517,1696,125,All-Concrete,Residential
Greenland Jinmao International Financial Center,Nanjing,2028,500,1640,102,N/A,Hotel / Office
HeXi Yuzui Tower A,Nanjing,2028,499,1636,85,N/A,Office
Tianfu Center,Chengdu,2027,489,1604,95,N/A,Office / Exhibition
Rizhao Center,Rizhao,2028,485,1591,94,All-Concrete,Residential / Hotel / Office
North Bund Tower,Shanghai,2030,480,1575,97,N/A,Observation / Serviced Apartments / Hotel / Office
Torre Rise,Monterrey,2026,475,1559,88,All-Concrete,Office / Residential / Office / Hotel
Wuhan CTF Finance Center,Wuhan,2029,475,1558,84,Composite,Office
Chengdu Greenland Tower,Chengdu,2029,468,1535,101,Concrete-Steel Composite,Hotel / Office
Suzhou CSC Fortune Center,Suzhou,2028,460,1509,100,Composite,Residential / Office
International Land-Sea Center,Chongqing,2025,458,1503,98,Concrete-Steel Composite,Hotel / Office
Franck Muller Aeternitas Tower,Dubai,2027,450,1476,106,All-Concrete,Residential
China Resources Land Center Tower 1,Dongguan,2027,450,1476,94,N/A,Hotel / Office
Haikou Tower 1,Haikou,2027,428,1404,94,Concrete-Steel Composite,Hotel / Residential / Office
Greenland Shandong International Financial Center,Jinan,2025,428,1404,88,Concrete-Steel Composite,Hotel / SOHO / Office
JPMorgan Chase World Headquarters,New York City,2025,423,1388,60,Concrete-Steel Composite,Office
Tour F,Abidjan,2026,421,1381,75,All-Concrete,Office
Tsingshan Holdings Group Global Headquarters Tower 1,Wenzhou,N/A,418,1371,N/A,N/A,Office
Nanjing Financial City Phase II Plot C Tower 1,Nanjing,2026,417,1367,88,Concrete-Steel Composite,Hotel / Office
Shenzhen Cloud of Innovation Center,Shenzhen,2026,407,1335,83,Composite,Hotel / Office
Great River Center,Wuhan,2026,400,1312,82,Concrete-Steel Composite,Office
China Merchants Group West Headquarters,Chengdu,2028,396,1299,82,N/A,Office
Shenzhen Bay Super Headquarters Base Tower B,Shenzhen,2028,394,1294,81,Composite,Office
Shenzhen Bay Super Headquarters Base Tower C-1,Shenzhen,2027,394,1293,78,N/A,Hotel / Office
China Merchants Bank Global Headquarters Main Tower,Shenzhen,2025,393,1289,77,Composite,Office
Lucheng Square,Wenzhou,2026,389,1276,79,Composite,Hotel / Residential / Office
TOKYO TORCH Torch Tower,Tokyo,2027,385,1263,62,Composite,Residential / Hotel / Office
Guangdong Business Center,Guangzhou,2025,376,1232,60,All-Steel,Office
China Merchants Prince Bay Tower,Shenzhen,2028,374,1227,59,All-Concrete,Hotel / Office
Shanghai International Trade Center Tower 2,Shanghai,2025,370,1214,70,Concrete-Steel Composite,Office
Shenyang International Center Tower 1,Shenyang,2027,366,1201,75,Concrete-Steel Composite,Office
Taipei Twins D1,Taipei,2027,360,1181,70,All-Steel,Office
Bay Area Smart Plaza Tower A,Shenzhen,2025,358,1175,65,Composite,Office
City Tower 1,Dubai,2025,358,1175,94,N/A,Office / Residential
Greenland Group Suzhou Center,Suzhou,2025,358,1175,77,Concrete-Steel Composite,Hotel / Office
Naga 3 Tower A,Phnom Penh,2026,358,1175,75,N/A,Hotel / Casino
Guohong Center,Wenzhou,2028,356,1168,71,Composite,Hotel / Office
Shenzhen Bay Super Headquarters Base Tower C-2,Shenzhen,2027,356,1167,68,N/A,Office
SkyTower at Pinnacle One Yonge,Toronto,2026,351,1153,106,All-Concrete,Residential / Hotel
Poly Liangxi Plaza,Foshan,2026,350,1148,N/A,N/A,Office
Xiamen Cross Strait Financial Centre,Xiamen,2025,344,1128,68,Composite,Office
Zhonghai City Plaza,Tianjin,2026,340,1115,75,N/A,Office
Oxley Tower 1,Kuala Lumpur,2025,339,1111,84,All-Concrete,Serviced Apartments / Hotel
Guangjian Financial Center,Guangzhou,2027,333,1093,N/A,N/A,Office
Green Energy Superblock Oasis Central Sudirman Tower 2,Jakarta,2028,331,1086,75,N/A,Serviced Apartments / Hotel / Office
Regalia,Dubai,2025,331,1086,70,All-Concrete,Residential
Golden Corridor 22-1 Project Tower 1,Shenyang,2025,330,1083,71,Composite,Office
Yuexiu Global Financial Center,Wuhan,2025,330,1083,68,Concrete-Steel Composite,Office
Jiulong Lake Knowledge Tower,Guangzhou,2025,330,1083,53,N/A,Hotel / Office
Shenyang International Center Tower 2,Shenyang,2027,328,1076,80,Concrete-Steel Composite,Hotel / Office
Adventz Tower,Dubai,2025,328,1076,68,N/A,Residential
Ethiopian Electric Power Headquarters,Addis Ababa,2027,328,1074,62,N/A,Office
Qingdao Landmark Tower,Qingdao,2025,327,1074,74,Concrete-Steel Composite,Hotel / Office
CITIC Pacific Plaza,Jinan,2025,326,1070,64,Concrete-Steel Composite,Office
Azrieli Spiral Tower,Tel Aviv,2025,323,1060,91,N/A,Office
Palais Royale,Mumbai,2025,320,1050,88,All-Concrete,Residential
Junchao Plaza,Guangzhou,2025,320,1050,67,Concrete-Steel Composite,Office / Retail / Office
Jiangbei New Financial Center Phase I,Nanjing,2027,320,1050,63,N/A,Office
Hangzhou West Railway Station Hub Tower A,Hangzhou,N/A,320,1050,61,N/A,Hotel / Office
Guangzhou International Cultural Center,Guangzhou,2025,320,1050,56,Composite,Office
Suhewan Huaxing New City Tower 1,Shanghai,2028,320,1050,N/A,N/A,Hotel / Office
China Resources Metropolitan City Center Landmark Tower,Wenzhou,2025,318,1044,60,All-Concrete,Hotel / Office
South Taihu CBD Tower,Huzhou,2025,318,1043,66,Composite,Office
Waldorf Astoria Hotel and Residences Miami,Miami,2028,317,1041,98,All-Concrete,Residential / Hotel
Hong Plaza Main Tower,Jinan,2025,317,1040,62,Composite,Office
TEDA IFC 1,Tianjin,2025,313,1027,56,Concrete-Steel Composite,Office
Mong Kok East Station Redevelopment,Hong Kong,2030,312,1024,62,N/A,Office
CITIC Financial Center Tower 1,Shenzhen,2026,312,1024,N/A,N/A,Residential / Office
Waterline,Austin,2026,311,1021,74,All-Concrete,Residential / Hotel / Office
Sumou Tower 1,Jeddah,2025,310,1017,71,All-Concrete,Residential / Hotel
